ÐòºÅ,µ¥´Ê,word_id,word
1_L1,a/an,,
2_L1,ability,,
3_L1,able,1122_l23,able
4_L1,about,115_l3,about
5_L1,above,800_l15,above
6_L1,abroad,,
7_L1,absent,,
8_L1,accept,1054_l21,accept
8_L1,accept,1508_l30,accept
9_L1,accessory,,
10_L1,accident,1509_l30,accident
11_L1,ache,,
12_L1,achieve,,
13_L1,across,1315_l26,across
14_L1,act,347_l7,act
15_L1,active,352_l7,active
16_L1,activity,353_l7,activity
17_L1,add,336_l6,add
18_L1,address,338_l6,address
19_L1,adult,,
20_L1,advantage,725_l14,advantage
21_L1,adverb,1595_l31,adverb
22_L1,advertisement,,
23_L1,advice,551_l10,advice
24_L1,afford,1431_l29,afford
25_L1,afraid,1432_l29,afraid
26_L1,Africa,,
27_L1,after,1429_l29,after
28_L1,afternoon,1430_l29,afternoon
29_L1,again,688_l13,again
30_L1,against,689_l13,against
31_L1,age,722_l14,age
32_L1,agent,,
33_L1,aggressive,,
34_L1,ago,,
35_L1,agree,1743_l34,agree
36_L1,aid,,
37_L1,aim,,
38_L1,air,1641_l32,air
39_L1,airline,,
40_L1,airplane,,
41_L1,airport,1644_l32,airport
42_L1,album,,
43_L1,alien,,
44_L1,alive,566_l10,alive
45_L1,all,520_l9,all
46_L1,allow,521_l9,allow
46_L1,allow,817_l16,allow
47_L1,almost,,
48_L1,alone,72_l2,alone
49_L1,along,71_l2,along
50_L1,aloud,814_l15,aloud
51_L1,already,165_l3,already
52_L1,alright,,
53_L1,also,,
54_L1,although,,
55_L1,always,888_l17,always
56_L1,am,,
57_L1,amazing,,
58_L1,America,,
59_L2,among,74_l2,among
60_L2,amount,,
61_L2,ancient,,
62_L2,and,,
63_L2,angry,697_l13,angry
64_L2,animal,,
65_L2,announce,,
66_L2,another,108_l2,another
67_L2,answer,,
68_L2,ant,627_l11,ant
69_L2,anxious,,
70_L2,any,977_l20,any
71_L2,anybody,980_l20,anybody
72_L2,anymore,,
73_L2,anyone,981_l20,anyone
74_L2,anything,979_l20,anything
75_L2,anyway,978_l20,anyway
76_L2,anywhere,272_l5,anywhere
77_L2,appear,1205_l24,appear
78_L2,apple,,
79_L2,appointment,,
80_L2,April,,
81_L2,are,579_l11,are
82_L2,area,580_l11,area
83_L2,argue,,
84_L2,arm,50_l2,arm
85_L2,around,35_l1,around
86_L2,arrive,468_l8,arrive
87_L2,art,435_l8,art
88_L2,article,436_l8,article
89_L2,artist,437_l8,artist
90_L2,as,,
91_L2,Asia,,
92_L2,ask,514_l9,ask
93_L2,asleep,231_l4,asleep
94_L2,assistant,,
95_L2,association,,
96_L2,Atlantic,,
97_L2,attempt,,
98_L2,attendant,,
99_L2,attention,357_l7,attention
100_L2,attitude,,
101_L2,August,1416_l28,August
102_L2,aunt,1417_l28,aunt
103_L2,Australia,932_l18,Australia
104_L2,author,,
105_L2,authority,,
106_L2,autograph,,
107_L2,autumn,,
108_L2,avenue,1515_l30,avenue
109_L2,avoid,,
110_L2,awake,508_l9,awake
111_L2,award,,
112_L2,away,887_l17,away
113_L2,awful,889_l17,awful
114_L2,baby,,
115_L2,back,416_l8,back
115_L2,back,1047_l21,back
116_L3,background,419_l8,background
117_L3,bad,1002_l20,bad
118_L3,bag,1001_l20,bag
119_L3,balance,,
120_L3,ball,517_l9,ball
121_L3,balloon,,
122_L3,bamboo,1663_l33,bamboo
123_L3,banana,,
124_L3,band,,
125_L3,bank,1599_l32,bank
126_L3,barbecue,,
127_L3,baseball,1712_l34,baseball
128_L3,basket,,
129_L3,basketball,,
130_L3,bathroom,733_l14,bathroom
131_L3,battery,1572_l31,battery
132_L3,be,,
133_L3,beach,156_l3,beach
134_L3,bear,,
135_L3,beard,,
136_L3,beat,,
137_L3,beautiful,,
138_L3,beauty,,
139_L3,because,128_l3,because
140_L3,become,1660_l33,become
141_L3,bed,734_l14,bed
142_L3,bee,91_l2,bee
143_L3,before,1398_l28,before
144_L3,begin,1009_l20,begin
145_L3,behave,,
146_L3,behind,1677_l33,behind
147_L3,believe,1129_l23,believe
148_L3,bell,1656_l32,bell
149_L3,belong,77_l2,belong
150_L3,below,822_l16,below
151_L3,belt,1006_l20,belt
152_L3,beside,426_l8,beside
153_L3,best,8_l1,best
154_L3,better,1567_l31,better
155_L3,between,1007_l20,between
156_L3,beyond,1045_l21,beyond
157_L3,bicycle,,
158_L3,big,,
159_L3,bike,674_l13,bike
160_L3,bill,,
161_L3,biology,,
162_L3,bird,1011_l20,bird
163_L3,birth,1012_l20,birth
164_L3,birthday,1013_l20,birthday
165_L3,bit,900_l18,bit
166_L3,black,420_l8,black
167_L3,blackboard,421_l8,blackboard
168_L3,blank,422_l8,blank
169_L3,block,,
170_L3,blood,303_l5,blood
171_L3,blow,821_l16,blow
172_L3,blue,1096_l22,blue
173_L3,board,,
174_L4,boat,498_l9,boat
175_L4,body,1372_l28,body
