,单词,中文释义,音标,学期,单元
0,morning,早上,['mɔːnɪŋ],一年级上册,Unit1-5
1,afternoon,下午,[ɑːftə'nuːn],一年级上册,Unit1-5
2,book,书,[bʊk],一年级上册,Unit1-5
3,ruler,尺,['ruːlə],一年级上册,Unit1-5
4,pencil,铅笔,['pens(ə)l],一年级上册,Unit1-5
5,rubber,橡皮,['rʌbə],一年级上册,Unit1-5
6,eye,眼睛,[aɪ],一年级上册,Unit1-5
7,mouth,嘴,[maʊθ],一年级上册,Unit1-5
8,face,脸,[feɪs],一年级上册,Unit1-5
9,nose,鼻子,[nəʊz],一年级上册,Unit1-5
10,ear,耳朵,[ɪə],一年级上册,Unit1-5
11,dance,跳舞,[dɑːns],一年级上册,Unit1-5
12,read,读书,[ri:d],一年级上册,Unit1-5
13,sing,唱歌,[sɪŋ],一年级上册,Unit1-5
14,draw,画画,[drɔː],一年级上册,Unit1-5
15,grandfather,爷爷,['græn(d)fɑːðə],一年级上册,Unit1-5
16,grandmother,奶奶,['græn(d)mʌðə],一年级上册,Unit1-5
17,father,爸爸,['fɑːðə],一年级上册,Unit1-5
18,mother,妈妈,['mʌðə],一年级上册,Unit1-5
19,fat,胖的,[fæt],一年级上册,Unit6-9
20,thin,瘦的,[θɪn],一年级上册,Unit6-9
21,tall,高的,[tɔːl],一年级上册,Unit6-9
22,short,矮的,[ʃɔːt],一年级上册,Unit6-9
23,one,一,[wʌn],一年级上册,Unit6-9
24,two,二,[tuː],一年级上册,Unit6-9
25,three,三,[θriː],一年级上册,Unit6-9
26,four,四,[fɔː],一年级上册,Unit6-9
27,five,五,[faɪv],一年级上册,Unit6-9
28,six,六,[sɪks],一年级上册,Unit6-9
29,apple,苹果,['æp(ə)l],一年级上册,Unit6-9
30,pear,梨,[peə],一年级上册,Unit6-9
31,peach,桃子,[piːtʃ],一年级上册,Unit6-9
32,orange,橘子,['ɒrɪn(d)ʒ],一年级上册,Unit6-9
33,hamburger,汉堡包,[ˈhæmbɜ:gə],一年级上册,Unit6-9
34,pizza,披萨,['piːtsə],一年级上册,Unit6-9
35,cake,蛋糕,[keɪk],一年级上册,Unit6-9
36,pie,派,[paɪ],一年级上册,Unit6-9
37,chick,小鸡,[tʃɪk],一年级上册,Unit10-12
