方向,前缀序号,前缀,前缀含义,需背记,单词,音标,中文释义,词根词缀拆解
数量方向,1,bi-/di-,二（两）；双,,bicycle,/?ba?s?k?l/,n. 自行车,前缀bi-二+cycle车轮→自行车
数量方向,1,bi-/di-,二（两）；双,,biplane,/?ba??ple?n/,n. 双翼飞机,前缀bi-双+plane飞机
数量方向,1,bi-/di-,二（两）；双,,bisexual,/ba??s?ksj??l/,adj. 双性恋的 n. 双性恋者,前缀bi-双+ sex性别+u+后缀-al表示形容词，转化为名词
数量方向,1,bi-/di-,二（两）；双,,dioxide,/da???ksa?d/,n. 二氧化物,前缀di-二+oxide氧化物
数量方向,2,tri-,三；三……的,,triangle,/?tra??? ɡ?l/,n. 三角形；三角铁（一种打击乐器）,前缀tri-三+angle角
数量方向,2,tri-,三；三……的,,tricolour,/?tra?k?l?/,n. 三色旗（如墨西哥国旗）,前缀tri-三+colour颜色
数量方向,2,tri-,三；三……的,,tricycle,/?tra?s?k?l/,n. （幼儿骑的）三轮车,前缀tri-三+cycle车轮
数量方向,2,tri-,三；三……的,,triplane,/?tra??ple?n/,n. 三翼飞机,前缀tri-三+plane飞机
数量方向,3,multi-,多,,multicoloured,/?m?lt??k?l?d/,adj. 多彩的,前缀multi-多+color颜色+后缀-ed表示形容词，“被……的”
数量方向,3,multi-,多,,multimedia,/?m?lt??mi?d??/,n. 多媒体（技术）；多媒体（应用）,前缀multi-多+media媒体
数量方向,3,multi-,多,,multinational,/?m?lt??n???n?l/,adj. 跨国的（公司）；多国的（军队、组织等）；多民族的,前缀multi-多+nation国家，民族+后缀-al表示形容词
数量方向,3,multi-,多,,multiform,/?m?lt??f??m/,adj. 多种形式的,前缀multi-多+form形式
数量方向,4,semi-/hemi-,半（引申出“部分地”、“每一半时间的（一段时间中两次）”等含义）,,semicircle,/?s?m??s??k?l/,n. 半圆（形）,前缀semi-半+circle圆
数量方向,4,semi-/hemi-,半（引申出“部分地”、“每一半时间的（一段时间中两次）”等含义）,,semimonthly,"/,sem?'m?nθl?/",adj. 半月的 adv. 每半月一次地 n. 半月刊,前缀semi-半+month月+后缀-ly表示形容词或副词
数量方向,4,semi-/hemi-,半（引申出“部分地”、“每一半时间的（一段时间中两次）”等含义）,,hemisphere,/?h?m??sf??/,n. 半球,前缀hemi-半+sphere球体
数量方向,4,semi-/hemi-,半（引申出“部分地”、“每一半时间的（一段时间中两次）”等含义）,,hemicycle,/?h?m??sa?k?l/,n. 半圆形建筑（如房间、竞技场等）,前缀hemi-半+cycle圆
