词性分类,后缀序号,后缀,后缀含义,需背记,单词,音标,中文释义,词根词缀拆解
动词后缀,1,en,（1）（加在形容词后）表示动词，“使……”（2）（加在名词后）表示形容词,,deepen,/?di?p?n/,v. 使加剧，加剧；使加深，加深；使变低沉，变低沉,deep深的；低沉的+后缀-en表示动词，“使……”
动词后缀,1,en,（1）（加在形容词后）表示动词，“使……”（2）（加在名词后）表示形容词,,shorten,/????t?n/,v. 缩短；使变短，变短；缩写,short简短的+后缀-en表示动词，“使……”
动词后缀,1,en,（1）（加在形容词后）表示动词，“使……”（2）（加在名词后）表示形容词,,lighten,/?la?t?n/,v. 使变明亮，变得明亮；缓和；使轻松，变得轻松,light明亮的；（重量）轻的+后缀-en表示动词，“使……”
动词后缀,1,en,（1）（加在形容词后）表示动词，“使……”（2）（加在名词后）表示形容词,,wooden,/?w?d?n/,adj. 木制的,wood木头+后缀-en表示形容词
动词后缀,2,ate,（1）表示动词，“使……”（2）表示名词（3）表示形容词,1,ideate,/?a?d??e?t/,v. 形成概念；想象,idea主意+后缀-ate表示动词，“使……”
动词后缀,2,ate,（1）表示动词，“使……”（2）表示名词（3）表示形容词,,fixate,/?f?kse?t/,v.（使）固定,fix固定+后缀-ate表示动词，“使……”
动词后缀,2,ate,（1）表示动词，“使……”（2）表示名词（3）表示形容词,,graduate,/?ɡr?d?u?t/,n. 毕业生 v. 毕业；升迁,grad步+-u-+后缀-ate表示动词，“使……”→取得（受教育过程）的一步，或表示名词
动词后缀,2,ate,（1）表示动词，“使……”（2）表示名词（3）表示形容词,1,accurate,/??kj?r?t/,adj. 精确的；准确的,前缀ac-去+cur关心+后缀-ate表示形容词→去关心到底的→精确的
动词后缀,3,"fy (-ify,-efy)",表示动词，“使……化”,,classify,/?kl?s??fa?/,v. 把……分类,class归类+后缀-ify表示动词，“使……化”
动词后缀,3,"fy (-ify,-efy)",表示动词，“使……化”,,verify,/?v?r??fa?/,v. 核实；证实,ver真实+后缀-ify表示动词，“使……化”
动词后缀,3,"fy (-ify,-efy)",表示动词，“使……化”,1,testify,/?t?st??fa?/,v.（在法庭上）作证,test考验+后缀-ify表示动词，“使……化”
动词后缀,3,"fy (-ify,-efy)",表示动词，“使……化”,,liquefy,/?l?kw??fa?/,v. 液化,liquid液体+后缀-efy表示动词，“使……化”
动词后缀,4,ize (-ise),表示动词，“使……化”,,modernize,/?m?d??na?z/,v. 使现代化,modern现代的+后缀-ize表示动词，“使……化”
动词后缀,4,ize (-ise),表示动词，“使……化”,,realize,/?r???la?z/,v. 意识到；（希望、渴望或恐惧）变成现实,real真实的+后缀-ize表示动词，“使……化”
动词后缀,4,ize (-ise),表示动词，“使……化”,1,humanize,/?hju?m??na?z/,v. 使人性化；使通人情,human人+后缀-ize表示动词，“使……化”
动词后缀,4,ize (-ise),表示动词，“使……化”,,idealize,/a??d???la?z/,v. 把……理想化,ideal理想+后缀-ize表示动词，“使……化”
形容词/副词后缀,5,ly,（1）（加在名词后）表示形容词（2）（加在形容词后）表示副词,,friendly,/?fr?ndl?/,adj. 友好的；与……要好的,friend朋友+后缀-ly表示形容词
