词根序号,词根,词根含义,单词,音标,中文释义,词根词缀拆解
41,sign,记号；加记号,sign,/saɪn/,n. 符号；姿势，手势；指示牌；迹象，征兆 v. 打手势，（节目或 表演）配手势语；在……上签名，签署；签约雇用，签约受雇,sign 表示“记号”或“加记号”（签署）
41,sign,记号；加记号,signature,/ˈsɪɡnɪtʃə/,n. 签名,sign 签署 + -at- + 后缀 -ure 表示名词，“状态”
41,sign,记号；加记号,signal,/ˈsɪɡnəl/,n. 信号 v.（打手势或发声音）向……示意，发信号；表示,sign 加记号 + 后缀 -al 表示名词，可转化为动词→信号，发信号
41,sign,记号；加记号,significant,/sɪɡˈnɪfɪkənt/,adj. 重大的，显著的；重要的，说明问题的,signify 意味着 + -ic- + 后缀 -ant 表示形容词
41,sign,记号；加记号,assign,/əˈsaɪn/,v. 布置（任务）；分配（某物）；分派；赋予（某功能或价值）,前缀 as- 去 + sign 加记号→不断给别人发信号→布置任务
41,sign,记号；加记号,assignment,/əˈsaɪnmənt/,n. 任务；作业,assign 布置 + 后缀 -ment 表示名词
41,sign,记号；加记号,design,/dɪˈzaɪn/,v. 设计；策划；旨在 n. 设计；设计图；图案,前缀 de- 向下 + sign 加记号→标记下来
41,sign,记号；加记号,resign,/rɪˈzaɪn/,v. 辞职；使屈从,前缀 re- 再次 + sign 签署→再签字（入职签过一次，再签就是离职）
42,sist,站立,exist,/ɪɡˈzɪst/,v. 存在；（尤指在困境中）生存,前缀 ex- 向外 + (s)ist 站→站出来刷存在感
42,sist,站立,existence,/ɪɡˈzɪstəns/,n. 存在；（尤指困境中的）生活方式,exist 存在 + 后缀 -ence 表示名词
42,sist,站立,assist,/əˈsɪst/,v.（通过分担一部分工作以）帮助；（提供信息、建议、资金等 以）协助；（在做某任务中）有助益,前缀 as- 去 + sist 站→去站到需要协助的人身边→帮助
42,sist,站立,consist,/kənˈsɪst/,v. 以……为组成部分,前缀 con- 一起 + sist 站→站到一起组成整体
42,sist,站立,insist,/ɪnˈsɪst/,v. 坚持认为，执意要求；坚持说,前缀 in- 里 + sist 站立→站在队伍里面坚持不掉队
42,sist,站立,persist,/pəˈsɪst/,v.（尤指不合意的事物）继续存在；坚持，执意,前缀 per- 始终 + sist 站→始终站着屹立不倒
42,sist,站立,resist,/rɪˈzɪst/,v. 抵制；反抗；抗拒；抵抗住,前缀 re- 回 + sist 站→往回站→抵制
43,solv，solut,松开,solve,/sɒlv/,v. 解决,solv 松开 + e →问题得到解决
43,solv，solut,松开,solution,/səˈlu:ʃən/,n. 解决办法；谜底；溶液,solut 松开 + 后缀 -ion 表示名词→东西掉到液体里松开后分解成溶液
43,solv，solut,松开,resolve,/rɪˈzɒlv/,v. 解决；下决心 n. 决心,前缀 re- 再次 + solve 解决→从犹豫不决中再下一次决心解决问题
